Place.,Percentage of Green Area
Ambedkar_Veedhi,29.72262728
Anjanapura,5.86425801
Arekere,3.587654305
Armane_Nagar_jayamahal,22.70625014
Banashankari,5.351979711
banaswadi,12.981095
Bannerghatta,37.5577369
Basavanagudi,14.24647956
Basaveshwaranagar,5.946640043
Begur,6.54379262
bellandur,17.69351378
Bommanahalli,8.465364134
Bommanasadra,12.81660947
BTM,8.616342582
chickpete,13.71186307
cv raman nagar,9.820839154
domlur,8.209176805
Electronic_Ctiy,12.70628121
Ganabharathi,28.84484178
Girinagar,15.77206672
Gottigere,11.3226893
hbr layout,5.526309927
hebbal,4.284202005
hoodi,17.74311982
horamavu,15.48952402
HSR,7.243613965
Hulimavu,8.842307769
indiranagar,7.59973893
jalahalli,4.472497336
Jayanagar,10.97385185
jeevanbheemanagar,7.55989359
JP_Nagar,5.784241012
kalyan nagar,10.9187915
Kamakshipalya,4.250664769
kammanahalli,4.386986301
Kengeri,19.51216976
Kormangala,8.524171701
Kothur,5.943599281
krishnarajapura,19.10133607
Kumarswamy_Layout,6.818505425
Lingapura_udayapura,9.190385115
lingarajapura,17.43239266
Madiwala,12.63378153
mahadevapura,10.87983361
Mahalakshmi_Layout,9.030784941
malleshwaram,21.71238609
marathalli,17.86731557
Nagarbhavi,8.785560149
Nandini_Layout,5.424611346
Nayandahalli,10.63555793
North_extension,4.154109936
Padmanabanagar,5.306860818
peenya,10.7209062
Rajajeshwarinagar,14.92219397
Rajajinagar,9.887173951
ramamurthy nagar,4.272377901
rt nagar,21.46934769
sadashivanagar,30.82773351
sashadripuram,23.83688663
shivajinagar,7.832221455
ulsoor,14.90091608
Uttarahalli,6.972587087
varthur,31.62912692
vasanthnagar,12.04873312
vidyanarayanapura,3.365959761
Vijaynagar,6.0159997
whitefield,22.86541167
yelahanka,5.070592933
yeshwanthpur,5.070592933
